"Beach ID
(Def.)","Beach Name
(Def.)","Station
ID
(Def.)","Station Name
(Def.)","County
Name
(Def.)","Identifier
(Def.)","Start
Date
(Def.)","Start
Time
(Def.)","Zone
Code
(Def.)","Activity
Type
Code
(Def.)","Characteristic
Name
(Def.)","Result Value
Text
(Def.)","Result
Value
(Def.)","Result
Measure
Unit","Result Comment
(Def.)","Activity
Depth
Value
(Def.)","Activity
Depth
Unit
Code
(Def.)","Result
Analytical
Method
Identifier
Context
(Def.)","Result
Analytical
Method
Identifier
(Def.)","Result
Analytical
Method
Name
(Def.)","Sample Collection
Method Identifier
(Def.)","Sample Collection
Method Name
(Def.)","Field Gear
(Def.)","Analysis
Date
Time
(Def.)","Detection
Quantitation
Limit
(Def.)",Latitude,Longitude
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816603,05-Dec-22,9:45:00 AM,PST,Sample-Routine,Fecal Coliform,-,45,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816602,05-Dec-22,9:45:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816601,05-Dec-22,9:35:00 AM,PST,Sample-Routine,Total Coliform,-,20,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816600,05-Dec-22,9:35:00 AM,PST,Sample-Routine,Fecal Coliform,-,15,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816599,05-Dec-22,9:35:00 AM,PST,Sample-Routine,Enterococcus,-,31,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816559,01-Dec-22,2:45:00 PM,PST,Sample-Routine,Total Coliform,-,450,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816558,01-Dec-22,2:45:00 PM,PST,Sample-Routine,Fecal Coliform,-,20,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816557,01-Dec-22,2:45:00 PM,PST,Sample-Routine,Enterococcus,-,31,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816556,01-Dec-22,11:23:00 AM,PST,Sample-Routine,Total Coliform,-,310,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816555,01-Dec-22,11:23:00 AM,PST,Sample-Routine,Fecal Coliform,-,5,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816554,01-Dec-22,11:23:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2811398,29-Nov-22,11:05:00 AM,PST,Sample-Routine,Total Coliform,-,30,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2811397,29-Nov-22,11:05:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2811396,29-Nov-22,11:05:00 AM,PST,Sample-Routine,Fecal Coliform,-,5,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2811350,28-Nov-22,7:43:00 AM,PST,Sample-Routine,Total Coliform,-,10,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2811349,28-Nov-22,7:43:00 AM,PST,Sample-Routine,Fecal Coliform,-,5,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2811348,28-Nov-22,7:43:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2811347,28-Nov-22,7:52:00 AM,PST,Sample-Routine,Total Coliform,-,5200,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2811346,28-Nov-22,7:52:00 AM,PST,Sample-Routine,Enterococcus,-,121,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2811345,28-Nov-22,7:52:00 AM,PST,Sample-Routine,Fecal Coliform,-,170,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2811299,21-Nov-22,8:55:00 AM,PST,Sample-Routine,Fecal Coliform,-,5,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2811298,21-Nov-22,8:55:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,29S,29S,ORANGE,2815176,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,26,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,33.6287,-117.9578
CA006650,Newport Beach,29S,29S,ORANGE,2815175,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,29S,29S,ORANGE,2815174,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,100,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,27S,27S,ORANGE,2815173,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,10,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,27S,27S,ORANGE,2815172,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,27S,27S,ORANGE,2815171,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,21S,21S,ORANGE,2815170,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,400,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,21S,21S,ORANGE,2815169,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,21S,21S,ORANGE,2815168,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,67,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,15S,15S,ORANGE,2815167,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,2,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,15S,15S,ORANGE,2815166,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,15S,15S,ORANGE,2815165,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCU,BGCU,ORANGE,2815002,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,116,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCU,BGCU,ORANGE,2815001,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCU,BGCU,ORANGE,2815000,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,180,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCD,BGCD,ORANGE,2814999,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,48,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCD,BGCD,ORANGE,2814998,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCD,BGCD,ORANGE,2814997,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,150,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,9S,9S,ORANGE,2814996,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,4,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,9S,9S,ORANGE,2814995,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,9S,9S,ORANGE,2814994,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,6S,6S,ORANGE,2814990,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,20,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,6S,6S,ORANGE,2814989,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,6S,6S,ORANGE,2814988,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,3S,3S,ORANGE,2814984,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,400,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,3S,3S,ORANGE,2814983,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,230,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,3S,3S,ORANGE,2814982,28-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,2200,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,3S,3S,ORANGE,2814751,22-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,14,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCU,BGCU,ORANGE,2814594,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,32,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCU,BGCU,ORANGE,2814593,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCU,BGCU,ORANGE,2814592,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,33,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCD,BGCD,ORANGE,2814591,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,8,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCD,BGCD,ORANGE,2814590,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,BGCD,BGCD,ORANGE,2814589,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,9S,9S,ORANGE,2814588,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,44,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,9S,9S,ORANGE,2814587,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,9S,9S,ORANGE,2814586,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,83,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,6S,6S,ORANGE,2814582,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Enterococcus,-,8,cfu/100mL,-,-,-,CABEACH_WQX,4,EPA 1600,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,6S,6S,ORANGE,2814581,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,17,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA006650,Newport Beach,6S,6S,ORANGE,2814566,21-Dec-22,12:00:00 AM,PST,Sample-Routine,Total Coliform,-,33,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
